AphiaID,Taxon,ZooHabitat
104437,Haloptilus spiniceps,Holoplankton
104462,Calanoides carinatus,Holoplankton
104464,Calanus finmarchicus,Holoplankton
104465,Calanus glacialis,Holoplankton
104466,Calanus helgolandicus,Holoplankton
104467,Calanus hyperboreus,Holoplankton
104468,Mesocalanus tenuicornis,Holoplankton
104469,Nannocalanus minor,Holoplankton
104471,Neocalanus gracilis,Holoplankton
104472,Neocalanus robustior,Holoplankton
104474,Candacia armata,Holoplankton
104475,Candacia bipinnata,Holoplankton
104476,Candacia curta,Holoplankton
104478,Candacia ethiopica,Holoplankton
104479,Candacia giesbrechti,Holoplankton
104481,Candacia longimana,Holoplankton
104483,Candacia pachydactyla,Holoplankton
104485,Candacia tenuimana,Holoplankton
104486,Candacia varicans,Holoplankton
104491,Centropages bradyi,Holoplankton
104494,Centropages chierchiae,Holoplankton
104495,Centropages furcatus,Holoplankton
104496,Centropages hamatus ,Holoplankton
104499,Centropages typicus ,Holoplankton
104500,Centropages violaceus,Holoplankton
104501,Isias clavipes,Holoplankton
104502,Clausocalanus arcuicornis,Holoplankton
104510,Ctenocalanus vanus,Holoplankton
104513,Microcalanus pygmaeus,Holoplankton
104515,Pseudocalanus elongatus,Holoplankton
104517,Pseudocalanus minutus,Holoplankton
104521,Diaixis hibernica,Holoplankton
104522,Diaixis pygmaea,Holoplankton
104542,Rhincalanus cornutus,Holoplankton
104543,Rhincalanus nasutus,Holoplankton
104544,Subeucalanus crassus,Holoplankton
104545,Subeucalanus monachus,Holoplankton
104546,Subeucalanus mucronatus,Holoplankton
104547,Subeucalanus pileatus,Holoplankton
104550,Euchaeta acuta,Holoplankton
104552,Euchaeta marina,Holoplankton
104553,Euchaeta media,Holoplankton
104554,Euchaeta pubera,Holoplankton
104555,Euchaeta spinosa,Holoplankton
104560,Paraeuchaeta glacialis,Holoplankton
104561,Paraeuchaeta gracilis,Holoplankton
104563,Paraeuchaeta hebes,Holoplankton
104566,Paraeuchaeta norvegica,Holoplankton
104576,Heterorhabdus abyssalis,Holoplankton
104577,Heterorhabdus clausi,Holoplankton
104579,Heterorhabdus norvegicus,Holoplankton
104503,Clausocalanus furcatus,NYA
104504,Clausocalanus jobei,NYA
104505,Clausocalanus lividus,NYA
104508,Clausocalanus paululus,NYA
104509,Clausocalanus pergens,NYA
104580,Heterorhabdus papilliger,Holoplankton
104582,Heterorhabdus spinifer,Holoplankton
104616,Mecynocera clausi,Holoplankton
104632,Metridia longa,Holoplankton
104519,Diaixis durani,NYA
104633,Metridia lucens,Holoplankton
104637,Pleuromamma abdominalis,Holoplankton
