aphiaID,scientificName,LifeformCategory
2081,Chaetognatha,Holoplankton
2088,Chaetodermatida,Undefined
2094,Solenogastres,Undefined
2118,Haplotaxida,Undefined
2138,Chromadorida,Undefined
2139,Monhysterida,Undefined
2140,Dorylaimida,Undefined
2141,Enoplida,Undefined
2143,Rhabditida,Undefined
2162,Chromadoridae,Undefined
2166,Selachinematidae,Undefined
2167,Desmodoridae,Undefined
2168,Draconematidae,Undefined
2171,Microlaimidae,Undefined
2173,Desmoscolecidae,Undefined
2178,Leptolaimidae,Undefined
2184,Axonolaimidae,Undefined
2185,Comesomatidae,Undefined
2188,Monhysteridae,Undefined
2189,Sphaerolaimidae,Undefined
2190,Xyalidae,Undefined
2195,Anticomidae,Undefined
2196,Enoplidae,Undefined
2197,Phanodermatidae,Undefined
2198,Thoracostomopsidae,Undefined
2200,Leptosomatidae,Undefined
2201,Oxystominidae,Undefined
2204,Oncholaimidae,Undefined
2209,Tripyloididae,Undefined
2211,Trefusiidae,Undefined
2213,Rhabditidae,Undefined
2294,Chromadorita,Undefined
2301,Ptycholaimellus,Undefined
2369,Desmoscolex,Undefined
2407,Leptolaimus,Undefined
2418,Odontophora,Undefined
2433,Sabatieria,Undefined
2445,Diplolaimelloides,Undefined
2447,Monhystera,Undefined
2455,Daptonema,Undefined
2469,Theristus,Undefined
2474,Desmolaimus,Undefined
2494,Astomonema,Undefined
2510,Phanoderma,Undefined
2512,Enoploides,Undefined
2517,Mesacanthion,Undefined
2526,Syringolaimus,Undefined
2548,Halalaimus,Undefined
2551,Oxystomina,Undefined
2564,Symplocostoma,Undefined
2581,Pontonema,Undefined
2586,Bathylaimus,Undefined
2592,Rhabdocoma,Undefined
2593,Trefusia,Undefined
2596,Chromadorina,Undefined
2847,Acoela,Undefined
2848,Nemertodermatida,Undefined
2849,Catenulida,Undefined
2851,Macrostomida,Undefined
2853,Polycladida,Undefined
2854,Prolecithophora,Undefined
5949,Sagittoidea,Undefined
5950,Aphragmophora,Undefined
5951,Phragmophora,Undefined
5953,Sagittidae,Holoplankton
5955,Eukrohniidae,Undefined
6072,Noetiidae,Undefined
7173,Lottiidae,Undefined
8012,Euglena,Other
8038,Petalomonas,Undefined
10527,Lyonsiidae,Undefined
11707,Cephalopoda,Meroplankton
13551,Anthoathecata,Meroplankton
13552,Leptothecata,Meroplankton
13574,Cavibelonia,Undefined
13704,Limacinidae,Undefined
14165,Clitellata,Undefined
14227,Rhopaluridae,Undefined
14260,Rotifera,Holoplankton
14262,Gnathostomulida,Undefined
14355,Stomatopoda,Meroplankton
14435,Simrothiellidae,Undefined
14665,Mitrocomidae,Undefined
15241,Rhodymeniales,Undefined
15308,Corallinales,Undefined
15324,Porphyridiales,Undefined
15378,Eirenidae,Undefined
16236,Rhabdocoela,Undefined
16349,Narcomedusae,Undefined
16350,Trachymedusae,Other
16842,Rhopalonematidae,Undefined
16843,Geryoniidae,Undefined
16845,Cuninidae,Undefined
17330,Pyramimonadales,Undefined
17616,Cafeteriaceae,Undefined
17639,Cryptophyceae,Other
17640,Cryptomonadales,Other
17641,Hemiselmidaceae,Undefined
17644,Cryptomonadaceae,Other
17651,Leucocryptos,Other
17654,Eutreptiales,Undefined
17662,Mamiellales,Undefined
17663,Mamiellaceae,Undefined
17666,Chlorodendrales,Other
17667,Chlorodendraceae,Undefined
17788,Astasiaceae,Undefined
17793,Xanthophyceae,Other
17903,Monogononta,Undefined
17904,Ploima,Undefined
17931,Flosculariaceae,Undefined
17968,Bdelloidea,Undefined
18537,Tetrasporales,Undefined
18608,Chaetophorales,Undefined
18814,Acanthocephala,Undefined
19485,Rathkeidae,Undefined
19497,Bursovaginoidea,Undefined
19542,Dinophyceae,Other
19948,Trematoda,Other
20285,Palaeacanthocephala,Undefined
20997,Pyrenomonadales,Undefined
20998,Chroomonadaceae,Undefined
20999,Pyrenomonadaceae,Undefined
21000,Euglenales,Other
21001,Euglenaceae,Other
21305,Nemaliales,Undefined
22156,Thraustochytriaceae,Undefined
22195,Labyrinthulaceae,Undefined
22496,Nereididae,Undefined
22549,Antipatharia,Undefined
22556,Bodonidae,Other
22557,Bodo,Undefined
22563,Strobilidiidae,Undefined
22564,Strombidinopsidae,Undefined
22565,Apicomplexa,Undefined
22579,Goniomonadaceae,Undefined
22582,Geminigeraceae,Undefined
22586,Cycliophora,Undefined
22599,Mystacocaridida,Undefined
22609,Myzostomatidae,Undefined
22610,Oenonidae,Undefined
22611,Paralacydoniidae,Undefined
22612,Hexactinellida,Undefined
22613,Pycnococcaceae,Undefined
22620,Kentrogonida,Undefined
22622,Seisonidea,Undefined
22624,Euglyphida,Undefined
22724,Vannellidae,Undefined
22725,Vexilliferidae,Undefined
22737,Placozoa,Undefined
22746,Trichoplacidae,Undefined
22767,Tiarannidae,Undefined
22795,Halopterididae,Undefined
22798,Melicertidae,Undefined
22820,Strongylida,Undefined
22859,Cucullanidae,Undefined
22861,Cucullanus,Undefined
22968,Cutleriales,Undefined
22970,Klebsormidiales,Undefined
22973,Rhodochaetales,Undefined
22977,Syringodermatales,Undefined
22978,Tilopteridales,Undefined
22997,Carditidae,Undefined
23005,Cimidae,Undefined
23013,Crassatellidae,Undefined
23043,Gadilinidae,Undefined
23048,Gryphaeidae,Undefined
23052,Haminoeidae,Undefined
23063,Limapontiidae,Undefined
23067,Malleidae,Undefined
23091,Pharidae,Undefined
23097,Planaxidae,Undefined
23121,Spondylidae,Undefined
23157,Thaumatomastigidae,Undefined
100653,Actiniidae,Undefined
100656,Aiptasiidae,Undefined
100680,Phymanthidae,Undefined
100681,Sagartiidae,Undefined
100685,Corallimorphidae,Undefined
100688,Epizoanthidae,Undefined
100689,Parazoanthidae,Undefined
100730,Edwardsia,Undefined
100783,Pachycerianthus,Undefined
100785,Corynactis,Undefined
100790,Epizoanthus,Undefined
100793,Parazoanthus,Undefined
101016,Corynactis viridis,Undefined
101060,Kinorhyncha,Undefined
101063,Priapulida,Undefined
101064,Cyclorhagida,Undefined
101069,Centroderidae,Undefined
101070,Echinoderidae,Undefined
101074,Pycnophyidae,Undefined
101078,Priapulidae,Undefined
101089,Pycnophyes,Undefined
101142,Pycnophyes kielensis,Undefined
101145,Pycnophyes ponticus,Undefined
101179,Leegaardiella,Other
101182,Pelagostrobilidium,Undefined
101183,Rimostrombidium,Undefined
101192,Novistrombidium,Undefined
101194,Spirostrombidium,Undefined
101195,Strombidium,Other
101198,Strombidinopsis,Other
101212,Pelagostrobilidium neptuni,Undefined
101219,Rimostrombidium veniliae,Undefined
101264,Laboea strobila,Other
101289,Strombidium conicum,Other
101350,Strombidinopsis acuminata,Undefined
101389,Ischyroceridae,Undefined
101397,Melitidae,Undefined
101537,Gammarus,Undefined
101571,Jassa,Undefined
101679,Melita,Undefined
101830,Caprella equilibra,Undefined
102274,Gammarus chevreuxi,Undefined
102431,Jassa falcata,Undefined
102438,Jassa slatteryi,Undefined
103301,Antipathidae,Undefined
103339,Perkinsidae,Undefined
103344,Perkinsus,Undefined
103989,Cafeteria,Other
103990,Pseudobodo,Other
103991,Caecitellus,Undefined
